"alpha","beta","a_H","a_E","a_V","mean_std_hri","median_std_hri","sd_std_hri"
0.3,0.7,0.3,0.35,0.35,0.417010054598669,0.442570073969115,0.229889193722967
0.3,0.7,0.4,0.3,0.3,0.392056790929396,0.403609024261421,0.235452917146693
0.3,0.7,0.3,0.4,0.3,0.443365113109561,0.475581606991179,0.24182339210874
0.3,0.7,0.3,0.3,0.4,0.391160233647397,0.40686858556229,0.219437671032194
0.3,0.7,0.333333333333333,0.333333333333333,0.333333333333333,0.408250624637833,0.429226706403123,0.23164668491163
0.4,0.6,0.3,0.35,0.35,0.397744505084888,0.419735342646857,0.224474995290334
0.4,0.6,0.4,0.3,0.3,0.376084328083574,0.384269155814384,0.230020189680868
0.4,0.6,0.3,0.4,0.3,0.421693753980605,0.450878352610895,0.234940479011919
0.4,0.6,0.3,0.3,0.4,0.374216148713824,0.386053201164273,0.215299013123735
0.4,0.6,0.333333333333333,0.333333333333333,0.333333333333333,0.390172476343014,0.408007647436709,0.226245619238058
0.5,0.5,0.3,0.35,0.35,0.375637817416736,0.39353311711645,0.218576728995825
0.5,0.5,0.4,0.3,0.3,0.357502865977104,0.364426302405855,0.223963375231126
0.5,0.5,0.3,0.4,0.3,0.396870223496896,0.422581927614807,0.227430194340989
0.5,0.5,0.3,0.3,0.4,0.354739603773841,0.363524083457997,0.2107987591535
0.5,0.5,0.333333333333333,0.333333333333333,0.333333333333333,0.369328476282417,0.383666454381802,0.220312418834672
0.6,0.4,0.3,0.35,0.35,0.350011475915178,0.362735730715111,0.212195124729511
0.6,0.4,0.4,0.3,0.3,0.335616308256109,0.341188976765035,0.217223116715466
0.6,0.4,0.3,0.4,0.3,0.368152840963693,0.385348933741064,0.219291245464788
0.6,0.4,0.3,0.3,0.4,0.332116992529342,0.337355814233594,0.205939341497593
0.6,0.4,0.333333333333333,0.333333333333333,0.333333333333333,0.345031307827232,0.354975846267277,0.213827353903636
0.7,0.3,0.3,0.35,0.35,0.31995222202463,0.324481186809394,0.205391727477745
0.7,0.3,0.4,0.3,0.3,0.309456755547831,0.310189419452557,0.209780255588899
0.7,0.3,0.3,0.4,0.3,0.334547441109842,0.346022400715942,0.210602634171196
0.7,0.3,0.3,0.3,0.4,0.305519058688898,0.305268160521937,0.200768467073404
0.7,0.3,0.333333333333333,0.333333333333333,0.333333333333333,0.316345355093494,0.321305156153201,0.206824835734493
